id,title,author,rating,image_url,year,genre,description
2767052,"The Hunger Games (The Hunger Games, #1)",Suzanne Collins,4.34,https://images.gr-assets.com/books/1447303603m/2767052.jpg,2008.0,Mystery,No description available.
3,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)","J.K. Rowling, Mary GrandPré",4.44,https://images.gr-assets.com/books/1474154022m/3.jpg,1997.0,Sci-Fi,No description available.
41865,"Twilight (Twilight, #1)",Stephenie Meyer,3.57,https://images.gr-assets.com/books/1361039443m/41865.jpg,2005.0,Sci-Fi,No description available.
2657,To Kill a Mockingbird,Harper Lee,4.25,https://images.gr-assets.com/books/1361975680m/2657.jpg,1960.0,History,No description available.
4671,The Great Gatsby,F. Scott Fitzgerald,3.89,https://images.gr-assets.com/books/1490528560m/4671.jpg,1925.0,Romance,No description available.
11870085,The Fault in Our Stars,John Green,4.26,https://images.gr-assets.com/books/1360206420m/11870085.jpg,2012.0,Sci-Fi,No description available.
5907,The Hobbit,J.R.R. Tolkien,4.25,https://images.gr-assets.com/books/1372847500m/5907.jpg,1937.0,Fiction,No description available.
5107,The Catcher in the Rye,J.D. Salinger,3.79,https://images.gr-assets.com/books/1398034300m/5107.jpg,1951.0,Fantasy,No description available.
960,"Angels & Demons  (Robert Langdon, #1)",Dan Brown,3.85,https://images.gr-assets.com/books/1303390735m/960.jpg,2000.0,Sci-Fi,No description available.
1885,Pride and Prejudice,Jane Austen,4.24,https://images.gr-assets.com/books/1320399351m/1885.jpg,1813.0,Sci-Fi,No description available.
77203,The Kite Runner,Khaled Hosseini,4.26,https://images.gr-assets.com/books/1484565687m/77203.jpg,2003.0,Mystery,No description available.
13335037,"Divergent (Divergent, #1)",Veronica Roth,4.24,https://images.gr-assets.com/books/1328559506m/13335037.jpg,2011.0,Fiction,No description available.
5470,1984,"George Orwell, Erich Fromm, Celâl Üster",4.14,https://images.gr-assets.com/books/1348990566m/5470.jpg,1949.0,Fiction,No description available.
7613,Animal Farm,George Orwell,3.87,https://images.gr-assets.com/books/1424037542m/7613.jpg,1945.0,History,No description available.
48855,The Diary of a Young Girl,"Anne Frank, Eleanor Roosevelt, B.M. Mooyaart-Doubleday",4.1,https://images.gr-assets.com/books/1358276407m/48855.jpg,1947.0,Fantasy,No description available.
2429135,"The Girl with the Dragon Tattoo (Millennium, #1)","Stieg Larsson, Reg Keeland",4.11,https://images.gr-assets.com/books/1327868566m/2429135.jpg,2005.0,History,No description available.
6148028,"Catching Fire (The Hunger Games, #2)",Suzanne Collins,4.3,https://images.gr-assets.com/books/1358273780m/6148028.jpg,2009.0,Fiction,No description available.
5,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)","J.K. Rowling, Mary GrandPré, Rufus Beck",4.53,https://images.gr-assets.com/books/1499277281m/5.jpg,1999.0,History,No description available.
34,"The Fellowship of the Ring (The Lord of the Rings, #1)",J.R.R. Tolkien,4.34,https://images.gr-assets.com/books/1298411339m/34.jpg,1954.0,Sci-Fi,No description available.
7260188,"Mockingjay (The Hunger Games, #3)",Suzanne Collins,4.03,https://images.gr-assets.com/books/1358275419m/7260188.jpg,2010.0,Sci-Fi,No description available.
2,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)","J.K. Rowling, Mary GrandPré",4.46,https://images.gr-assets.com/books/1387141547m/2.jpg,2003.0,History,No description available.
12232938,The Lovely Bones,Alice Sebold,3.77,https://images.gr-assets.com/books/1457810586m/12232938.jpg,2002.0,History,No description available.
15881,"Harry Potter and the Chamber of Secrets (Harry Potter, #2)","J.K. Rowling, Mary GrandPré",4.37,https://images.gr-assets.com/books/1474169725m/15881.jpg,1998.0,History,No description available.
6,"Harry Potter and the Goblet of Fire (Harry Potter, #4)","J.K. Rowling, Mary GrandPré",4.53,https://images.gr-assets.com/books/1361482611m/6.jpg,2000.0,Mystery,No description available.
136251,"Harry Potter and the Deathly Hallows (Harry Potter, #7)","J.K. Rowling, Mary GrandPré",4.61,https://images.gr-assets.com/books/1474171184m/136251.jpg,2007.0,Fantasy,No description available.
968,"The Da Vinci Code (Robert Langdon, #2)",Dan Brown,3.79,https://images.gr-assets.com/books/1303252999m/968.jpg,2003.0,Fiction,No description available.
1,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)","J.K. Rowling, Mary GrandPré",4.54,https://images.gr-assets.com/books/1361039191m/1.jpg,2005.0,History,No description available.
7624,Lord of the Flies,William Golding,3.64,https://images.gr-assets.com/books/1327869409m/7624.jpg,1954.0,History,No description available.
18135,Romeo and Juliet,"William Shakespeare, Robert           Jackson",3.73,https://images.gr-assets.com/books/1327872146m/18135.jpg,1595.0,Fantasy,No description available.
8442457,Gone Girl,Gillian Flynn,4.03,https://images.gr-assets.com/books/1339602131m/8442457.jpg,2012.0,Romance,No description available.
4667024,The Help,Kathryn Stockett,4.45,https://images.gr-assets.com/books/1346100365m/4667024.jpg,2009.0,Sci-Fi,No description available.
890,Of Mice and Men,John Steinbeck,3.84,https://images.gr-assets.com/books/1437235233m/890.jpg,1937.0,Sci-Fi,No description available.
930,Memoirs of a Geisha,Arthur Golden,4.08,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,1997.0,Fiction,No description available.
10818853,"Fifty Shades of Grey (Fifty Shades, #1)",E.L. James,3.67,https://images.gr-assets.com/books/1385207843m/10818853.jpg,2011.0,Mystery,No description available.
865,The Alchemist,"Paulo Coelho, Alan R. Clarke",3.82,https://images.gr-assets.com/books/1483412266m/865.jpg,1988.0,Romance,No description available.
3636,"The Giver (The Giver, #1)",Lois Lowry,4.12,https://images.gr-assets.com/books/1342493368m/3636.jpg,1993.0,Fantasy,No description available.
100915,"The Lion, the Witch, and the Wardrobe (Chronicles of Narnia, #1)",C.S. Lewis,4.19,https://images.gr-assets.com/books/1353029077m/100915.jpg,1950.0,Fiction,No description available.
14050,The Time Traveler's Wife,Audrey Niffenegger,3.95,https://images.gr-assets.com/books/1437728815m/14050.jpg,2003.0,Sci-Fi,No description available.
13496,"A Game of Thrones (A Song of Ice and Fire, #1)",George R.R. Martin,4.45,https://images.gr-assets.com/books/1436732693m/13496.jpg,1996.0,Sci-Fi,No description available.
19501,"Eat, Pray, Love",Elizabeth Gilbert,3.51,https://images.gr-assets.com/books/1503066414m/19501.jpg,2006.0,Fantasy,No description available.
28187,"The Lightning Thief (Percy Jackson and the Olympians, #1)",Rick Riordan,4.23,https://images.gr-assets.com/books/1400602609m/28187.jpg,2005.0,Fiction,No description available.
1934,"Little Women (Little Women, #1)",Louisa May Alcott,4.04,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,1868.0,Fantasy,No description available.
10210,Jane Eyre,"Charlotte Brontë, Michael Mason",4.1,https://images.gr-assets.com/books/1327867269m/10210.jpg,1847.0,Fantasy,No description available.
15931,"The Notebook (The Notebook, #1)",Nicholas Sparks,4.06,https://images.gr-assets.com/books/1385738917m/15931.jpg,1996.0,History,No description available.
4214,Life of Pi,Yann Martel,3.88,https://images.gr-assets.com/books/1320562005m/4214.jpg,2001.0,History,No description available.
43641,Water for Elephants,Sara Gruen,4.07,https://images.gr-assets.com/books/1494428973m/43641.jpg,2006.0,Mystery,No description available.
19063,The Book Thief,Markus Zusak,4.36,https://images.gr-assets.com/books/1390053681m/19063.jpg,2005.0,Mystery,No description available.
4381,Fahrenheit 451,Ray Bradbury,3.97,https://images.gr-assets.com/books/1351643740m/4381.jpg,1953.0,Fiction,No description available.
49041,"New Moon (Twilight, #2)",Stephenie Meyer,3.52,https://images.gr-assets.com/books/1361039440m/49041.jpg,2006.0,Mystery,No description available.
30119,Where the Sidewalk Ends,Shel Silverstein,4.29,https://images.gr-assets.com/books/1168052448m/30119.jpg,1974.0,Fantasy,No description available.
256683,"City of Bones (The Mortal Instruments, #1)",Cassandra Clare,4.12,https://images.gr-assets.com/books/1432730315m/256683.jpg,2007.0,Fiction,No description available.
428263,"Eclipse (Twilight, #3)",Stephenie Meyer,3.69,https://images.gr-assets.com/books/1361038355m/428263.jpg,2007.0,Fantasy,No description available.
113436,"Eragon (The Inheritance Cycle, #1)",Christopher Paolini,3.86,https://images.gr-assets.com/books/1366212852m/113436.jpg,2002.0,Fiction,No description available.
11,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",Douglas Adams,4.2,https://images.gr-assets.com/books/1327656754m/11.jpg,1979.0,Fiction,No description available.
5129,Brave New World,Aldous Huxley,3.97,https://images.gr-assets.com/books/1487389574m/5129.jpg,1932.0,History,No description available.
1162543,"Breaking Dawn (Twilight, #4)",Stephenie Meyer,3.7,https://images.gr-assets.com/books/1361039438m/1162543.jpg,2008.0,Fiction,No description available.
37435,The Secret Life of Bees,Sue Monk Kidd,4.01,https://images.gr-assets.com/books/1473454532m/37435.jpg,2001.0,Fantasy,No description available.
2956,The Adventures of Huckleberry Finn,"Mark Twain, John Seelye, Guy Cardwell",3.8,https://images.gr-assets.com/books/1405973850m/2956.jpg,1884.0,Fiction,No description available.
24178,Charlotte's Web,"E.B. White, Garth Williams, Rosemary Wells",4.15,https://images.gr-assets.com/books/1439632243m/24178.jpg,1952.0,Romance,No description available.
1618,The Curious Incident of the Dog in the Night-Time,Mark Haddon,3.85,https://images.gr-assets.com/books/1479863624m/1618.jpg,2003.0,Romance,No description available.
22557272,The Girl on the Train,Paula Hawkins,3.88,https://images.gr-assets.com/books/1490903702m/22557272.jpg,2015.0,Sci-Fi,No description available.
119322,"The Golden Compass (His Dark Materials, #1)",Philip Pullman,3.94,https://images.gr-assets.com/books/1451271747m/119322.jpg,1995.0,History,No description available.
6185,Wuthering Heights,"Emily Brontë, Richard J. Dunn",3.82,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,1847.0,Romance,No description available.
10917,My Sister's Keeper,Jodi Picoult,4.06,https://images.gr-assets.com/books/1369504683m/10917.jpg,2004.0,Mystery,No description available.
4981,Slaughterhouse-Five,Kurt Vonnegut Jr.,4.06,https://images.gr-assets.com/books/1440319389m/4981.jpg,1969.0,Romance,No description available.
18405,Gone with the Wind,Margaret Mitchell,4.28,https://images.gr-assets.com/books/1328025229m/18405.jpg,1936.0,History,No description available.
128029,A Thousand Splendid Suns,Khaled Hosseini,4.34,https://images.gr-assets.com/books/1345958969m/128029.jpg,2007.0,Mystery,No description available.
22628,The Perks of Being a Wallflower,Stephen Chbosky,4.21,https://images.gr-assets.com/books/1167352178m/22628.jpg,1999.0,Romance,No description available.
11735983,"Insurgent (Divergent, #2)",Veronica Roth,4.07,https://images.gr-assets.com/books/1325667729m/11735983.jpg,2012.0,History,No description available.
375802,"Ender's Game (Ender's Saga, #1)",Orson Scott Card,4.3,https://images.gr-assets.com/books/1408303130m/375802.jpg,1985.0,Fantasy,No description available.
18490,Frankenstein,"Mary Wollstonecraft Shelley, Percy Bysshe Shelley, Maurice Hindle",3.75,https://images.gr-assets.com/books/1381512375m/18490.jpg,1818.0,Romance,No description available.
11588,The Shining (The Shining #1),Stephen King,4.17,https://images.gr-assets.com/books/1353277730m/11588.jpg,1977.0,Romance,No description available.
1656001,"The Host (The Host, #1)",Stephenie Meyer,3.84,https://images.gr-assets.com/books/1318009171m/1656001.jpg,2008.0,Fiction,No description available.
99561,Looking for Alaska,John Green,4.09,https://images.gr-assets.com/books/1394798630m/99561.jpg,2005.0,History,No description available.
227443,"Bridget Jones's Diary (Bridget Jones, #1)",Helen Fielding,3.75,https://images.gr-assets.com/books/1292060045m/227443.jpg,1996.0,History,No description available.
14935,Sense and Sensibility,"Jane Austen, Tony Tanner, Ros Ballaster",4.06,https://images.gr-assets.com/books/1397245675m/14935.jpg,1811.0,Romance,No description available.
38709,"Holes (Holes, #1)","Louis Sachar, Louis Sachar",3.93,https://images.gr-assets.com/books/1327781893m/38709.jpg,1998.0,History,No description available.
5139,"The Devil Wears Prada (The Devil Wears Prada, #1)",Lauren Weisberger,3.7,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,2003.0,History,No description available.
1381,The Odyssey,"Homer, Robert Fagles, E.V. Rieu, Frédéric Mugler, Bernard Knox",3.73,https://images.gr-assets.com/books/1390173285m/1381.jpg,-720.0,Fantasy,No description available.
157993,The Little Prince,"Antoine de Saint-Exupéry, Richard Howard, Dom Marcos Barbosa, Melina Karakosta",4.28,https://images.gr-assets.com/books/1367545443m/157993.jpg,1946.0,Fantasy,No description available.
7445,The Glass Castle,Jeannette Walls,4.24,https://images.gr-assets.com/books/1400930557m/7445.jpg,2005.0,Fantasy,No description available.
1845,Into the Wild,Jon Krakauer,3.94,https://images.gr-assets.com/books/1403173986m/1845.jpg,1996.0,Fiction,No description available.
1953,A Tale of Two Cities,"Charles Dickens, Richard Maxwell, Hablot Knight Browne",3.81,https://images.gr-assets.com/books/1344922523m/1953.jpg,1859.0,Fantasy,No description available.
7677,"Jurassic Park (Jurassic Park, #1)",Michael Crichton,3.96,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,1990.0,Mystery,No description available.
370493,The Giving Tree,Shel Silverstein,4.38,https://images.gr-assets.com/books/1174210942m/370493.jpg,1964.0,Fiction,No description available.
32542,A Time to Kill,John Grisham,4.03,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,1989.0,Fiction,No description available.
1617,Night (The Night Trilogy #1),"Elie Wiesel, Marion Wiesel",4.3,https://images.gr-assets.com/books/1473495285m/1617.jpg,1958.0,Mystery,No description available.
6442769,Paper Towns,John Green,3.88,https://images.gr-assets.com/books/1349013610m/6442769.jpg,2008.0,Fantasy,No description available.
21787,The Princess Bride ,William Goldman,4.25,https://images.gr-assets.com/books/1327903636m/21787.jpg,1973.0,Fiction,No description available.
231804,The Outsiders,S.E. Hinton,4.06,https://images.gr-assets.com/books/1442129426m/231804.jpg,1967.0,Romance,No description available.
6186357,"The Maze Runner (Maze Runner, #1)",James Dashner,4.02,https://images.gr-assets.com/books/1375596592m/6186357.jpg,2009.0,History,No description available.
1202,"Freakonomics: A Rogue Economist Explores the Hidden Side of Everything (Freakonomics, #1)","Steven D. Levitt, Stephen J. Dubner",3.93,https://images.gr-assets.com/books/1327909092m/1202.jpg,2005.0,Romance,No description available.
2998,The Secret Garden,Frances Hodgson Burnett,4.12,https://images.gr-assets.com/books/1327873635m/2998.jpg,1911.0,Mystery,No description available.
320,One Hundred Years of Solitude,"Gabriel García Márquez, Gregory Rabassa",4.04,https://images.gr-assets.com/books/1327881361m/320.jpg,1967.0,Sci-Fi,No description available.
5297,The Picture of Dorian Gray,"Oscar Wilde, Jeffrey Eugenides",4.06,https://images.gr-assets.com/books/1424596966m/5297.jpg,1891.0,Romance,No description available.
13536860,"Fifty Shades Freed (Fifty Shades, #3)",E.L. James,3.88,https://images.gr-assets.com/books/1336418837m/13536860.jpg,2012.0,Sci-Fi,No description available.
17245,Dracula,"Bram Stoker, Nina Auerbach, David J. Skal",3.98,https://images.gr-assets.com/books/1387151694m/17245.jpg,1897.0,Sci-Fi,No description available.
5060378,"The Girl Who Played with Fire (Millennium, #2)","Stieg Larsson, Reg Keeland",4.22,https://images.gr-assets.com/books/1351778881m/5060378.jpg,2006.0,Fiction,No description available.
11857408,"Fifty Shades Darker (Fifty Shades, #2)",E.L. James,3.87,https://images.gr-assets.com/books/1358266080m/11857408.jpg,2011.0,Sci-Fi,No description available.
7244,The Poisonwood Bible,Barbara Kingsolver,4.02,https://images.gr-assets.com/books/1412242487m/7244.jpg,1998.0,Romance,No description available.
4137,Me Talk Pretty One Day,David Sedaris,3.97,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,2000.0,Mystery,No description available.
19543,Where the Wild Things Are,Maurice Sendak,4.22,https://images.gr-assets.com/books/1384434560m/19543.jpg,1963.0,Sci-Fi,No description available.
7126,The Count of Monte Cristo,"Alexandre Dumas, Robin Buss",4.21,https://images.gr-assets.com/books/1309203605m/7126.jpg,1844.0,Fiction,No description available.
6288,The Road,Cormac McCarthy,3.95,https://images.gr-assets.com/books/1439197219m/6288.jpg,2006.0,Fantasy,No description available.
18710190,"Allegiant (Divergent, #3)",Veronica Roth,3.63,https://images.gr-assets.com/books/1395582745m/18710190.jpg,2013.0,Fantasy,No description available.
9418327,Bossypants,Tina Fey,3.94,https://images.gr-assets.com/books/1481509554m/9418327.jpg,2011.0,Sci-Fi,No description available.
3473,A Walk to Remember,Nicholas Sparks,4.15,https://images.gr-assets.com/books/1385738968m/3473.jpg,1999.0,Fantasy,No description available.
9416,"Confessions of a Shopaholic (Shopaholic, #1)",Sophie Kinsella,3.61,https://images.gr-assets.com/books/1327872404m/9416.jpg,2000.0,Sci-Fi,No description available.
24280,Les Misérables,"Victor Hugo, Lee Fahnestock, Norman MacAfee",4.14,https://images.gr-assets.com/books/1411852091m/24280.jpg,1862.0,Romance,No description available.
10572,"A Clash of Kings  (A Song of Ice and Fire, #2)",George R.R. Martin,4.4,https://images.gr-assets.com/books/1358254974m/10572.jpg,1998.0,Mystery,No description available.
10441,The Memory Keeper's Daughter,Kim Edwards,3.64,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,2005.0,Fiction,No description available.
15507958,"Me Before You (Me Before You, #1)",Jojo Moyes,4.27,https://images.gr-assets.com/books/1357108762m/15507958.jpg,2012.0,Fantasy,No description available.
168668,Catch-22,Joseph Heller,3.98,https://images.gr-assets.com/books/1463157317m/168668.jpg,1961.0,Sci-Fi,No description available.
6900,Tuesdays with Morrie,"Mitch Albom, Saulius Dagys",4.06,https://images.gr-assets.com/books/1423763749m/6900.jpg,1997.0,Fiction,No description available.
2187,Middlesex,Jeffrey Eugenides,3.98,https://images.gr-assets.com/books/1437029776m/2187.jpg,2002.0,Fiction,No description available.
24583,The Adventures of Tom Sawyer,"Mark Twain, Guy Cardwell, John Seelye",3.89,https://images.gr-assets.com/books/1404811979m/24583.jpg,1876.0,Sci-Fi,No description available.
18131,"A Wrinkle in Time (A Wrinkle in Time Quintet, #1)",Madeleine L'Engle,4.04,https://images.gr-assets.com/books/1329061522m/18131.jpg,1962.0,Fantasy,No description available.
7763,The Joy Luck Club,Amy Tan,3.9,https://images.gr-assets.com/books/1304978653m/7763.jpg,1989.0,Fantasy,No description available.
38447,The Handmaid's Tale,Margaret Atwood,4.06,https://images.gr-assets.com/books/1498057733m/38447.jpg,1985.0,History,No description available.
452306,"The Sisterhood of the Traveling Pants (Sisterhood, #1)",Ann Brashares,3.75,https://images.gr-assets.com/books/1461611233m/452306.jpg,2001.0,Fantasy,No description available.
7604,Lolita,"Vladimir Nabokov, Craig Raine",3.88,https://images.gr-assets.com/books/1377756377m/7604.jpg,1955.0,Sci-Fi,No description available.
37442,"Wicked: The Life and Times of the Wicked Witch of the West (The Wicked Years, #1)","Gregory Maguire, Douglas Smith",3.52,https://images.gr-assets.com/books/1437733293m/37442.jpg,1995.0,Fiction,No description available.
5358,"The Firm (Penguin Readers, Level 5)",John Grisham,3.99,https://images.gr-assets.com/books/1418465200m/5358.jpg,1991.0,Fiction,No description available.
